[2025-03-22T15:59:08.972-0500] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-22T15:59:08.979-0500] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: proceso_etl.tarea_formateo manual__2025-03-22T20:59:04.192084+00:00 [queued]>
[2025-03-22T15:59:08.984-0500] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: proceso_etl.tarea_formateo manual__2025-03-22T20:59:04.192084+00:00 [queued]>
[2025-03-22T15:59:08.984-0500] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-03-22T15:59:09.007-0500] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): tarea_formateo> on 2025-03-22 20:59:04.192084+00:00
[2025-03-22T15:59:09.014-0500] {standard_task_runner.py:72} INFO - Started process 26009 to run task
[2025-03-22T15:59:09.016-0500] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'proceso_etl', 'tarea_formateo', 'manual__2025-03-22T20:59:04.192084+00:00', '--job-id', '73', '--raw', '--subdir', 'DAGS_FOLDER/dag_etl.py', '--cfg-path', '/tmp/tmphmzr4kc_']
[2025-03-22T15:59:09.018-0500] {standard_task_runner.py:105} INFO - Job 73: Subtask tarea_formateo
[2025-03-22T15:59:09.047-0500] {task_command.py:467} INFO - Running <TaskInstance: proceso_etl.tarea_formateo manual__2025-03-22T20:59:04.192084+00:00 [running]> on host luis-GF65
[2025-03-22T15:59:09.121-0500] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='proceso_etl' AIRFLOW_CTX_TASK_ID='tarea_formateo' AIRFLOW_CTX_EXECUTION_DATE='2025-03-22T20:59:04.192084+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-03-22T20:59:04.192084+00:00'
[2025-03-22T15:59:09.122-0500] {taskinstance.py:732} INFO - ::endgroup::
[2025-03-22T15:59:11.296-0500] {logging_mixin.py:190} INFO - Hay 231 archivos en el folder data/rawdata/
[2025-03-22T15:59:11.296-0500] {formateo.py:45} INFO - Descargando todos los archivos
[2025-03-22T15:59:30.933-0500] {formateo.py:57} INFO - Descargado 11 de 231 archivos
[2025-03-22T15:59:32.604-0500] {formateo.py:57} INFO - Descargado 12 de 231 archivos
[2025-03-22T15:59:34.497-0500] {formateo.py:57} INFO - Descargado 13 de 231 archivos
[2025-03-22T15:59:36.134-0500] {formateo.py:57} INFO - Descargado 14 de 231 archivos
[2025-03-22T15:59:37.929-0500] {formateo.py:57} INFO - Descargado 15 de 231 archivos
[2025-03-22T15:59:39.513-0500] {formateo.py:57} INFO - Descargado 16 de 231 archivos
[2025-03-22T15:59:41.152-0500] {formateo.py:57} INFO - Descargado 17 de 231 archivos
[2025-03-22T15:59:43.213-0500] {formateo.py:57} INFO - Descargado 18 de 231 archivos
[2025-03-22T15:59:45.604-0500] {formateo.py:57} INFO - Descargado 19 de 231 archivos
[2025-03-22T15:59:47.241-0500] {formateo.py:57} INFO - Descargado 20 de 231 archivos
[2025-03-22T15:59:48.321-0500] {formateo.py:57} INFO - Descargado 21 de 231 archivos
[2025-03-22T15:59:50.060-0500] {formateo.py:57} INFO - Descargado 22 de 231 archivos
[2025-03-22T15:59:52.263-0500] {formateo.py:57} INFO - Descargado 23 de 231 archivos
[2025-03-22T15:59:54.102-0500] {formateo.py:57} INFO - Descargado 24 de 231 archivos
[2025-03-22T15:59:54.818-0500] {formateo.py:57} INFO - Descargado 25 de 231 archivos
[2025-03-22T15:59:56.562-0500] {formateo.py:57} INFO - Descargado 26 de 231 archivos
[2025-03-22T15:59:58.182-0500] {formateo.py:57} INFO - Descargado 27 de 231 archivos
[2025-03-22T15:59:58.879-0500] {formateo.py:57} INFO - Descargado 28 de 231 archivos
[2025-03-22T16:00:00.634-0500] {formateo.py:57} INFO - Descargado 29 de 231 archivos
[2025-03-22T16:00:02.294-0500] {formateo.py:57} INFO - Descargado 30 de 231 archivos
[2025-03-22T16:00:04.044-0500] {formateo.py:57} INFO - Descargado 31 de 231 archivos
[2025-03-22T16:00:04.847-0500] {formateo.py:57} INFO - Descargado 32 de 231 archivos
[2025-03-22T16:00:06.596-0500] {formateo.py:57} INFO - Descargado 33 de 231 archivos
[2025-03-22T16:00:08.350-0500] {formateo.py:57} INFO - Descargado 34 de 231 archivos
[2025-03-22T16:00:10.154-0500] {formateo.py:57} INFO - Descargado 35 de 231 archivos
[2025-03-22T16:00:11.846-0500] {formateo.py:57} INFO - Descargado 36 de 231 archivos
[2025-03-22T16:00:13.576-0500] {formateo.py:57} INFO - Descargado 37 de 231 archivos
[2025-03-22T16:00:15.719-0500] {formateo.py:57} INFO - Descargado 38 de 231 archivos
[2025-03-22T16:00:17.347-0500] {formateo.py:57} INFO - Descargado 39 de 231 archivos
[2025-03-22T16:00:19.118-0500] {formateo.py:57} INFO - Descargado 40 de 231 archivos
[2025-03-22T16:00:20.824-0500] {formateo.py:57} INFO - Descargado 41 de 231 archivos
